sample,evolved,population
1,with_community,wt-b1
2,with_community,wt-b1
3,with_community,wt-b1
4,with_community,wt-b1
5,with_community,wt-b2
6,with_community,wt-b2
7,with_community,wt-b2
8,with_community,wt-b2
9,with_community,wt-b3
10,with_community,wt-b3
11,with_community,wt-b3
12,with_community,wt-b3
13,with_community,wt-b4
14,with_community,wt-b4
15,with_community,wt-b4
16,with_community,wt-b4
17,with_community,wt-b5
18,with_community,wt-b5
19,with_community,wt-b5
20,with_community,wt-b5
21,with_community,wt-b6
22,with_community,wt-b6
23,with_community,wt-b6
24,with_community,wt-b6
25,without_community,wt-1
26,without_community,wt-1
27,without_community,wt-1
28,without_community,wt-1
29,without_community,wt-2
30,without_community,wt-2
31,without_community,wt-2
32,without_community,wt-2
33,without_community,wt-3
34,without_community,wt-3
35,without_community,wt-3
36,without_community,wt-3
37,without_community,wt-4
38,without_community,wt-4
39,without_community,wt-4
40,without_community,wt-4
41,without_community,wt-5
42,without_community,wt-5
43,without_community,wt-5
44,without_community,wt-5
45,without_community,wt-6
46,without_community,wt-6
47,without_community,wt-6
48,without_community,wt-6
