"set","plate","well","tp","sheet","od_wave","od","substrate","sample","evolved","population"
"set_1","1","A_1","T1","Sheet1",600,0.056,"water","1","with_community","wt-b1"
"set_1","1","F_4","T6","Sheet1",590,0.431,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","F_2","T5","Sheet1",600,0.47,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","A_1","T2","Sheet1",600,0.06,"water","1","with_community","wt-b1"
"set_1","1","A_1","T3","Sheet1",600,0.06,"water","1","with_community","wt-b1"
"set_1","1","G_3","T5","Sheet1",600,0.097,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","A_1","T4","Sheet1",590,0.059,"water","1","with_community","wt-b1"
"set_1","1","A_4","T4","Sheet1",590,0.57,"l-arginine","1","with_community","wt-b1"
"set_1","1","G_4","T6","Sheet1",590,0.047,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","E_4","T6","Sheet1",600,0.061,"l-threonine","1","with_community","wt-b1"
"set_1","1","A_1","T5","Sheet1",590,0.058,"water","1","with_community","wt-b1"
"set_1","1","C_4","T5","Sheet1",590,0.062,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","A_4","T5","Sheet1",590,0.604,"l-arginine","1","with_community","wt-b1"
"set_1","1","E_3","T1","Sheet1",600,0.097,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","A_1","T6","Sheet1",600,0.053,"water","1","with_community","wt-b1"
"set_1","1","G_3","T6","Sheet1",590,0.096,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","B_4","T3","Sheet1",600,0.82,"l-asparagine","1","with_community","wt-b1"
"set_1","1","E_3","T6","Sheet1",600,1.37,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","B_3","T1","Sheet1",600,0.055,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","G_4","T5","Sheet1",600,0.052,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","C_2","T1","Sheet1",600,0.049,"i-erythritol","1","with_community","wt-b1"
"set_1","1","F_1","T4","Sheet1",590,0.084,"glycogen","1","with_community","wt-b1"
"set_1","1","H_4","T3","Sheet1",600,0.076,"putrescine","1","with_community","wt-b1"
"set_1","1","E_1","T4","Sheet1",590,0.113,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","C_4","T4","Sheet1",590,0.064,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","D_1","T6","Sheet1",590,0.18,"tween 80","1","with_community","wt-b1"
"set_1","1","H_3","T1","Sheet1",600,0.051,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","D_2","T6","Sheet1",600,0.99,"d-mannitol","1","with_community","wt-b1"
"set_1","1","A_4","T5","Sheet1",600,0.59,"l-arginine","1","with_community","wt-b1"
"set_1","1","F_2","T6","Sheet1",600,0.605,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","C_4","T6","Sheet1",600,0.054,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","B_3","T6","Sheet1",600,2.286,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","C_2","T6","Sheet1",590,0.045,"i-erythritol","1","with_community","wt-b1"
"set_1","1","A_4","T3","Sheet1",600,0.262,"l-arginine","1","with_community","wt-b1"
"set_1","1","E_1","T6","Sheet1",600,0.087,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","H_4","T4","Sheet1",590,0.213,"putrescine","1","with_community","wt-b1"
"set_1","1","G_1","T5","Sheet1",600,0.094,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","H_2","T2","Sheet1",600,0.225,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","A_4","T1","Sheet1",600,0.05,"l-arginine","1","with_community","wt-b1"
"set_1","1","B_3","T4","Sheet1",600,1.955,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","F_4","T1","Sheet1",600,0.049,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","H_2","T5","Sheet1",590,0.333,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","G_3","T5","Sheet1",590,0.098,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","F_4","T6","Sheet1",600,0.402,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","A_3","T4","Sheet1",600,0.903,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","F_1","T2","Sheet1",600,0.083,"glycogen","1","with_community","wt-b1"
"set_1","1","D_3","T2","Sheet1",600,0.116,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","D_3","T5","Sheet1",600,0.536,"4-hydroxy benzoic acid","1","with_community","wt-b1"
