Sample_number,Sample_name,Treatment_label,,Evolved_with/without_community,Preadaptation population,Fitness(W),Biolog_Variance,Density_(CFU/ml),Density_(CFU/g)
33,1,Individual_Clone,,With_Community,WT-B1,1.309631097,0.102779635,20800,124800
24,2,Individual_Clone,,With_Community,WT-B1,0.570969582,0.138267935,308000,1848000
34,3,Individual_Clone,,With_Community,WT-B1,0.684259835,0.126821142,480000,2880000
35,4,Individual_Clone,,With_Community,WT-B1,0.618511195,0.130092916,288000,1728000
64,5,Individual_Clone,,With_Community,WT-B2,0.540840043,0.173396916,200000,1200000
4,6,Individual_Clone,,With_Community,WT-B2,0.506013765,0.132438016,568000,3408000
67,7,Individual_Clone,,With_Community,WT-B2,0.766477482,0.16180427,12800,76800
47,8,Individual_Clone,,With_Community,WT-B2,0.25835104,0.173248138,280000,1680000
9,9,Individual_Clone,,With_Community,WT-B3,0.434142731,0.130463167,1640000,9840000
57,10,Individual_Clone,,With_Community,WT-B3,0.411809856,0.118889831,800000,4800000
10,11,Individual_Clone,,With_Community,WT-B3,0.781077719,0.092889242,360000,2160000
78,12,Individual_Clone,,With_Community,WT-B3,0.866858552,0.099977088,200000,1200000
36,13,Individual_Clone,,With_Community,WT-B4,-0.068607744,0.085730519,64000,384000
94,14,Individual_Clone,,With_Community,WT-B4,-0.260714,0.12017845,216000,1296000
37,15,Individual_Clone,,With_Community,WT-B4,0.05337608,0.100002861,880000,5280000
58,16,Individual_Clone,,With_Community,WT-B4,1.308327021,0.130379797,640000,3840000
72,17,Individual_Clone,,With_Community,WT-B5,0.405559415,0.095213631,920000,5520000
38,18,Individual_Clone,,With_Community,WT-B5,0.597985541,0.0992152,320000,1920000
39,19,Individual_Clone,,With_Community,WT-B5,0.452970357,0.109514212,1140000,6840000
84,20,Individual_Clone,,With_Community,WT-B5,0.812346395,0.122161663,80000,480000
59,21,Individual_Clone,,With_Community,WT-B6,-0.046094241,0.124505529,280000,1680000
95,22,Individual_Clone,,With_Community,WT-B6,0.606301033,0.131113207,840000,5040000
41,23,Individual_Clone,,With_Community,WT-B6,-0.105516402,0.115404366,720000,4320000
80,24,Individual_Clone,,With_Community,WT-B6,0,0.121712195,440000,2640000
2,25,Individual_Clone,,Without_Community,WT-1,0.495814884,0.145296084,30800,184800
5,26,Individual_Clone,,Without_Community,WT-1,0.676190585,0.147381717,356000,2136000
60,27,Individual_Clone,,Without_Community,WT-1,0.652783955,0.143678517,548000,3288000
87,28,Individual_Clone,,Without_Community,WT-1,0.715430387,0.12881284,472000,2832000
42,29,Individual_Clone,,Without_Community,WT-2,0.748387663,0.140281577,144000,864000
85,30,Individual_Clone,,Without_Community,WT-2,0.65382169,0.133661581,100000,600000
96,31,Individual_Clone,,Without_Community,WT-2,0.909952486,0.108866975,692000,4152000
66,32,Individual_Clone,,Without_Community,WT-2,0.675406261,0.116900326,344000,2064000
61,33,Individual_Clone,,Without_Community,WT-3,1.243303397,0.125389718,400000,2400000
83,34,Individual_Clone,,Without_Community,WT-3,1.034299327,0.129157858,92000,552000
62,35,Individual_Clone,,Without_Community,WT-3,1.233767689,0.118117421,504000,3024000
86,36,Individual_Clone,,Without_Community,WT-3,0.722928736,0.120758742,96000,576000
7,37,Individual_Clone,,Without_Community,WT-4,1.206485801,0.121939218,104000,624000
101,38,Individual_Clone,,Without_Community,WT-4,0.755706218,0.129576884,124000,744000
8,39,Individual_Clone,,Without_Community,WT-4,0.652993236,0.128264903,308000,1848000
20,40,Individual_Clone,,Without_Community,WT-4,0.739654088,0.123966272,96000,576000
43,41,Individual_Clone,,Without_Community,WT-5,0.944187965,0.087033068,56000,336000
22,42,Individual_Clone,,Without_Community,WT-5,1.063823475,0.092070195,104000,624000
23,43,Individual_Clone,,Without_Community,WT-5,0.741783449,0.091904153,456000,2736000
77,44,Individual_Clone,,Without_Community,WT-5,0.685782116,0.103302025,268000,1608000
63,45,Individual_Clone,,Without_Community,WT-6,0.625181647,0.072232662,0,0
65,46,Individual_Clone,,Without_Community,WT-6,0.496771985,0.102206553,108000,648000
69,47,Individual_Clone,,Without_Community,WT-6,0.657787187,0.105951673,320000,1920000
44,48,Individual_Clone,,Without_Community,WT-6,0.495545232,0.101833193,124000,744000
